======================================================================
TABLE: Empirical posterior histogram data
======================================================================

valid_time_step_index   | time   | time_unit   | parameter                         | parameter_id                      | unit    | bin_left             | bin_right            | density                 | count   | posterior_mean      
40                      | 41.0   |             | Cathode inlet relative humidity   | cathode_inlet_relative_humidity   | 1       | 0.513543426990509    | 0.5320081114768982   | 0.0                     | 0       | 0.775229275226593   
40                      | 41.0   |             | Cathode inlet relative humidity   | cathode_inlet_relative_humidity   | 1       | 0.5320081114768982   | 0.5504727959632874   | 0.2707872025611075      | 5       | 0.775229275226593   
40                      | 41.0   |             | Cathode inlet relative humidity   | cathode_inlet_relative_humidity   | 1       | 0.5504727959632874   | 0.5689374804496765   | 0.2707872025611075      | 5       | 0.775229275226593   
40                      | 41.0   |             | Cathode inlet relative humidity   | cathode_inlet_relative_humidity   | 1       | 0.5689374804496765   | 0.5874021649360657   | 0.2707872025611075      | 5       | 0.775229275226593   
40                      | 41.0   |             | Cathode inlet relative humidity   | cathode_inlet_relative_humidity   | 1       | 0.5874021649360657   | 0.6058668494224548   | 0.7040467266588795      | 13      | 0.775229275226593   
40                      | 41.0   |             | Cathode inlet relative humidity   | cathode_inlet_relative_humidity   | 1       | 0.6058668494224548   | 0.624331533908844    | 1.191463691268873       | 22      | 0.775229275226593   
40                      | 41.0   |             | Cathode inlet relative humidity   | cathode_inlet_relative_humidity   | 1       | 0.624331533908844    | 0.6427962183952332   | 1.4622508938299803      | 27      | 0.775229275226593   
40                      | 41.0   |             | Cathode inlet relative humidity   | cathode_inlet_relative_humidity   | 1       | 0.6427962183952332   | 0.6612609028816223   | 1.8955104179277524      | 35      | 0.775229275226593   
40                      | 41.0   |             | Cathode inlet relative humidity   | cathode_inlet_relative_humidity   | 1       | 0.6612609028816223   | 0.6797255873680115   | 2.4912422635621887      | 46      | 0.775229275226593   
40                      | 41.0   |             | Cathode inlet relative humidity   | cathode_inlet_relative_humidity   | 1       | 0.6797255873680115   | 0.6981902718544006   | 3.3577613117577325      | 62      | 0.775229275226593   
40                      | 41.0   |             | Cathode inlet relative humidity   | cathode_inlet_relative_humidity   | 1       | 0.6981902718544006   | 0.7166549563407898   | 3.520233633294397       | 65      | 0.775229275226593   
40                      | 41.0   |             | Cathode inlet relative humidity   | cathode_inlet_relative_humidity   | 1       | 0.7166549563407898   | 0.735119640827179    | 3.6285485143188403      | 67      | 0.775229275226593   
40                      | 41.0   |             | Cathode inlet relative humidity   | cathode_inlet_relative_humidity   | 1       | 0.735119640827179    | 0.7535843253135681   | 3.303603871245511       | 61      | 0.775229275226593   
40                      | 41.0   |             | Cathode inlet relative humidity   | cathode_inlet_relative_humidity   | 1       | 0.7535843253135681   | 0.7720490097999573   | 4.603382443538827       | 85      | 0.775229275226593   
40                      | 41.0   |             | Cathode inlet relative humidity   | cathode_inlet_relative_humidity   | 1       | 0.7720490097999573   | 0.7905136942863464   | 3.520233633294397       | 65      | 0.775229275226593   
40                      | 41.0   |             | Cathode inlet relative humidity   | cathode_inlet_relative_humidity   | 1       | 0.7905136942863464   | 0.8089783787727356   | 3.086974109196625       | 57      | 0.775229275226593   
40                      | 41.0   |             | Cathode inlet relative humidity   | cathode_inlet_relative_humidity   | 1       | 0.8089783787727356   | 0.8274430632591248   | 3.520233633294397       | 65      | 0.775229275226593   
40                      | 41.0   |             | Cathode inlet relative humidity   | cathode_inlet_relative_humidity   | 1       | 0.8274430632591248   | 0.8459077477455139   | 4.115965478928834       | 76      | 0.775229275226593   
40                      | 41.0   |             | Cathode inlet relative humidity   | cathode_inlet_relative_humidity   | 1       | 0.8459077477455139   | 0.8643724918365479   | 3.3577502126880674      | 62      | 0.775229275226593   
40                      | 41.0   |             | Cathode inlet relative humidity   | cathode_inlet_relative_humidity   | 1       | 0.8643724918365479   | 0.882837176322937    | 2.8703443471477392      | 53      | 0.775229275226593   
